17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19
18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19
17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19
18,19,18,19,18,19,18,19,18,19,18,20,18,19,18,19,20,20,20,20,20,19,18,19,20,20,18,19,18,19,18,19
17,19,17,20,17,19,17,19,17,20,17,19,17,19,17,20,20,19,17,19,20,20,20,20,20,19,20,20,20,19,17,19
20,19,20,20,18,19,18,19,18,19,18,19,18,19,20,20,18,19,20,20,20,20,20,20,20,20,20,20,20,19,18,19
20,19,20,19,17,19,20,19,17,19,17,19,17,19,20,19,17,20,20,19,20,20,20,20,20,20,20,20,17,19,17,20
20,19,20,20,20,20,20,20,18,19,18,19,18,19,20,20,20,19,18,19,20,19,18,20,20,19,18,20,20,20,18,20
20,19,20,20,17,19,17,20,20,20,17,19,17,19,20,20,17,19,17,20,20,19,17,19,17,19,20,20,20,19,20,19
18,19,18,19,18,19,18,19,18,20,20,19,18,19,20,20,18,19,18,20,18,19,18,19,20,20,20,19,18,19,20,20
17,19,20,20,20,19,17,19,17,19,17,19,17,19,17,20,20,19,17,20,17,19,17,20,20,19,17,19,17,19,20,20
18,20,20,19,20,20,20,20,18,19,18,19,18,19,18,20,20,20,18,20,18,19,18,20,20,19,18,19,20,20,20,20
17,20,17,19,17,20,17,19,17,19,17,19,17,19,17,19,20,20,17,20,17,19,17,19,20,20,17,19,17,19,20,20
18,20,18,19,20,20,18,19,18,19,18,19,20,19,18,19,20,20,20,20,18,19,18,19,18,20,18,19,18,19,20,20
17,19,17,19,20,19,17,19,17,19,17,19,17,20,17,19,17,20,20,20,17,19,17,19,17,19,17,19,17,19,20,19
18,19,18,19,20,19,18,19,18,19,18,19,18,19,18,19,18,19,20,20,20,20,18,19,18,19,18,19,18,19,18,20
17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,20,20,20,20,20,19,17,19,17,19,17,20
18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,20,20,20,19,20,20,18,19,18,19,18,19
17,19,17,20,20,20,20,20,17,19,17,19,17,19,17,19,17,19,17,19,17,20,20,19,17,20,17,19,17,19,17,19
18,19,20,20,18,19,18,20,18,19,18,19,18,19,18,19,18,19,18,19,18,20,20,19,18,20,18,19,18,19,20,20
17,19,17,20,20,20,20,20,20,19,20,20,20,20,20,20,20,19,17,19,17,19,17,19,17,20,17,20,20,20,20,19
18,19,18,19,18,19,20,20,20,19,18,19,18,19,20,20,20,19,18,19,18,19,18,19,18,20,20,20,18,19,18,19
17,19,17,19,17,19,20,20,20,20,17,19,17,20,20,19,17,19,17,19,17,19,17,19,20,20,20,19,17,19,17,19
20,20,20,20,20,20,20,19,20,19,18,19,18,20,18,20,20,20,20,20,18,19,18,19,18,20,20,19,18,19,18,19
20,19,17,19,17,19,17,19,20,20,20,19,17,20,20,20,17,19,17,20,20,19,17,19,17,19,17,20,17,19,17,19
20,19,18,19,18,19,18,19,20,20,18,19,20,19,20,19,18,19,18,20,18,19,18,19,18,19,18,20,20,19,18,19
20,20,17,19,17,19,17,20,20,19,17,20,20,19,20,19,17,19,20,19,17,19,17,19,17,19,17,19,20,19,17,19
18,20,20,19,18,19,18,20,18,19,18,20,18,19,20,19,18,19,20,19,18,19,18,19,18,19,18,19,18,20,18,19
17,19,20,20,17,19,17,20,17,19,17,20,17,19,20,19,17,19,17,20,20,19,17,19,17,19,17,19,17,20,20,19
18,19,18,20,20,19,18,19,18,19,18,20,18,20,20,19,18,19,18,19,20,20,18,19,18,19,18,19,18,19,20,20
17,19,17,19,20,20,17,19,17,19,17,20,20,20,17,19,17,19,17,19,17,19,20,20,20,19,17,19,17,19,17,19
18,19,18,19,18,19,20,20,18,19,18,20,20,19,18,19,18,19,18,19,18,19,18,19,20,19,18,19,18,19,18,19
